EventId : 3, Level : Informational, Message : Invoking method IDomainEntityService`1.ViewAll, Payload : [serviceName : IDomainEntityService`1] [methodName : ViewAll] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-07T09:58:03.6191213Z, ProcessId : 3408, ThreadId : 540
EventId : 3, Level : Informational, Message : Invoking method IAccountService.Indentify, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-07T11:23:24.6494086Z, ProcessId : 4588, ThreadId : 9480

EventId : 4, Level : Informational, Message : Method IAccountService.Indentify finished, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-07T11:23:24.6524128Z, ProcessId : 4588, ThreadId : 9480

EventId : 3, Level : Informational, Message : Invoking method IAccountService.Indentify, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-07T11:28:15.4681170Z, ProcessId : 4764, ThreadId : 9416

EventId : 4, Level : Informational, Message : Method IAccountService.Indentify finished, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-07T11:28:16.6234779Z, ProcessId : 4764, ThreadId : 9416

EventId : 3, Level : Informational, Message : Invoking method IAccountService.Indentify, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-07T11:28:33.0056560Z, ProcessId : 4764, ThreadId : 9416

EventId : 4, Level : Informational, Message : Method IAccountService.Indentify finished, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-07T11:28:33.0126593Z, ProcessId : 4764, ThreadId : 9416

EventId : 3, Level : Informational, Message : Invoking method IAccountService.Indentify, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-07T11:31:52.6962090Z, ProcessId : 10228, ThreadId : 456

EventId : 4, Level : Informational, Message : Method IAccountService.Indentify finished, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-07T11:31:54.5170755Z, ProcessId : 10228, ThreadId : 456

EventId : 3, Level : Informational, Message : Invoking method IAccountService.Indentify, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-08T17:17:52.7061413Z, ProcessId : 10960, ThreadId : 11972

EventId : 4, Level : Informational, Message : Method IAccountService.Indentify finished, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-08T17:18:12.6237780Z, ProcessId : 10960, ThreadId : 11972

EventId : 3, Level : Informational, Message : Invoking method IAccountService.Indentify, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-08T17:18:52.7226364Z, ProcessId : 10960, ThreadId : 8392

EventId : 4, Level : Informational, Message : Method IAccountService.Indentify finished, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-08T17:18:52.7406349Z, ProcessId : 10960, ThreadId : 8392

EventId : 3, Level : Informational, Message : Invoking method IAccountService.Indentify, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-08T17:29:31.4108953Z, ProcessId : 1068, ThreadId : 6080

EventId : 4, Level : Informational, Message : Method IAccountService.Indentify finished, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-08T17:29:40.2244947Z, ProcessId : 1068, ThreadId : 6080

EventId : 3, Level : Informational, Message : Invoking method IAccountService.Indentify, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-12T13:48:37.2020770Z, ProcessId : 4012, ThreadId : 7492

EventId : 4, Level : Informational, Message : Method IAccountService.Indentify finished, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-12T13:48:57.7183163Z, ProcessId : 4012, ThreadId : 7492

EventId : 3, Level : Informational, Message : Invoking method IAccountService.Indentify, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-12T15:52:15.3021926Z, ProcessId : 2072, ThreadId : 5676

EventId : 4, Level : Informational, Message : Method IAccountService.Indentify finished, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-12T15:52:23.2486145Z, ProcessId : 2072, ThreadId : 5676

EventId : 3, Level : Informational, Message : Invoking method IAccountService.Indentify, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T11:10:06.4306937Z, ProcessId : 2908, ThreadId : 1500

EventId : 4, Level : Informational, Message : Method IAccountService.Indentify finished, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T11:10:26.4160132Z, ProcessId : 2908, ThreadId : 1500

EventId : 3, Level : Informational, Message : Invoking method IAccountService.Indentify, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T11:11:31.2215540Z, ProcessId : 2908, ThreadId : 1500

EventId : 4, Level : Informational, Message : Method IAccountService.Indentify finished, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T11:11:31.2255595Z, ProcessId : 2908, ThreadId : 1500

EventId : 3, Level : Informational, Message : Invoking method IAccountService.Indentify, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T11:13:12.4477696Z, ProcessId : 2908, ThreadId : 5072

EventId : 4, Level : Informational, Message : Method IAccountService.Indentify finished, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T11:13:12.4537703Z, ProcessId : 2908, ThreadId : 5072

EventId : 3, Level : Informational, Message : Invoking method IAccountService.Indentify, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T11:17:34.5152466Z, ProcessId : 3948, ThreadId : 3840

EventId : 4, Level : Informational, Message : Method IAccountService.Indentify finished, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T11:17:35.8419908Z, ProcessId : 3948, ThreadId : 3840

EventId : 3, Level : Informational, Message : Invoking method IAccountService.Indentify, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T15:24:19.8767958Z, ProcessId : 5124, ThreadId : 9796

EventId : 4, Level : Informational, Message : Method IAccountService.Indentify finished, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T15:24:42.3479172Z, ProcessId : 5124, ThreadId : 9796

EventId : 3, Level : Informational, Message : Invoking method IRoomService.GetRooms, Payload : [serviceName : IRoomService] [methodName : GetRooms] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T15:42:52.1721896Z, ProcessId : 8096, ThreadId : 5348

EventId : 3, Level : Informational, Message : Invoking method IAccountService.Indentify, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T15:46:30.9343708Z, ProcessId : 10092, ThreadId : 11140

EventId : 4, Level : Informational, Message : Method IAccountService.Indentify finished, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T15:46:32.2488759Z, ProcessId : 10092, ThreadId : 11140

EventId : 3, Level : Informational, Message : Invoking method IRoomService.GetRooms, Payload : [serviceName : IRoomService] [methodName : GetRooms] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T15:46:39.4922044Z, ProcessId : 10092, ThreadId : 11140

EventId : 3, Level : Informational, Message : Invoking method IAccountService.Indentify, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T15:47:43.5999817Z, ProcessId : 4336, ThreadId : 2912

EventId : 4, Level : Informational, Message : Method IAccountService.Indentify finished, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T15:47:44.6543796Z, ProcessId : 4336, ThreadId : 2912

EventId : 3, Level : Informational, Message : Invoking method IRoomService.GetRooms, Payload : [serviceName : IRoomService] [methodName : GetRooms] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T15:47:46.5620895Z, ProcessId : 4336, ThreadId : 2912

EventId : 3, Level : Informational, Message : Invoking method IAccountService.Indentify, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T15:54:30.1231470Z, ProcessId : 9688, ThreadId : 7288

EventId : 4, Level : Informational, Message : Method IAccountService.Indentify finished, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T15:54:32.2664942Z, ProcessId : 9688, ThreadId : 7288

EventId : 3, Level : Informational, Message : Invoking method IRoomService.GetRooms, Payload : [serviceName : IRoomService] [methodName : GetRooms] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T15:54:38.9606262Z, ProcessId : 9688, ThreadId : 7288

EventId : 4, Level : Informational, Message : Method IRoomService.GetRooms finished, Payload : [serviceName : IRoomService] [methodName : GetRooms] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T15:54:54.3918844Z, ProcessId : 9688, ThreadId : 7288

EventId : 3, Level : Informational, Message : Invoking method IRoomService.GetRooms, Payload : [serviceName : IRoomService] [methodName : GetRooms] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T15:55:58.6970208Z, ProcessId : 9688, ThreadId : 8864

EventId : 4, Level : Informational, Message : Method IRoomService.GetRooms finished, Payload : [serviceName : IRoomService] [methodName : GetRooms] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T15:55:58.7020166Z, ProcessId : 9688, ThreadId : 8864

EventId : 3, Level : Informational, Message : Invoking method IAccountService.Indentify, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T15:59:13.2006594Z, ProcessId : 11232, ThreadId : 7088

EventId : 4, Level : Informational, Message : Method IAccountService.Indentify finished, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T15:59:15.2710121Z, ProcessId : 11232, ThreadId : 7088

EventId : 3, Level : Informational, Message : Invoking method IRoomService.GetRooms, Payload : [serviceName : IRoomService] [methodName : GetRooms] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T15:59:21.9331146Z, ProcessId : 11232, ThreadId : 7088

EventId : 4, Level : Informational, Message : Method IRoomService.GetRooms finished, Payload : [serviceName : IRoomService] [methodName : GetRooms] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T15:59:22.1272552Z, ProcessId : 11232, ThreadId : 7088

EventId : 3, Level : Informational, Message : Invoking method IAccountService.Indentify, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T16:00:50.0178649Z, ProcessId : 8924, ThreadId : 4368

EventId : 4, Level : Informational, Message : Method IAccountService.Indentify finished, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T16:00:52.8077051Z, ProcessId : 8924, ThreadId : 4368

EventId : 3, Level : Informational, Message : Invoking method IRoomService.GetRooms, Payload : [serviceName : IRoomService] [methodName : GetRooms] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T16:01:01.4569856Z, ProcessId : 8924, ThreadId : 4368

EventId : 4, Level : Informational, Message : Method IRoomService.GetRooms finished, Payload : [serviceName : IRoomService] [methodName : GetRooms] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T16:01:01.5800888Z, ProcessId : 8924, ThreadId : 4368

EventId : 3, Level : Informational, Message : Invoking method IRoomService.CreateRoom, Payload : [serviceName : IRoomService] [methodName : CreateRoom] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T16:01:38.6497612Z, ProcessId : 8924, ThreadId : 7472

EventId : 4, Level : Informational, Message : Method IRoomService.CreateRoom finished, Payload : [serviceName : IRoomService] [methodName : CreateRoom] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T16:01:39.1973977Z, ProcessId : 8924, ThreadId : 7472

EventId : 3, Level : Informational, Message : Invoking method IRoomService.GetRooms, Payload : [serviceName : IRoomService] [methodName : GetRooms] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T16:01:39.2219149Z, ProcessId : 8924, ThreadId : 9928

EventId : 4, Level : Informational, Message : Method IRoomService.GetRooms finished, Payload : [serviceName : IRoomService] [methodName : GetRooms] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T16:01:39.2309157Z, ProcessId : 8924, ThreadId : 9928

EventId : 3, Level : Informational, Message : Invoking method IDomainEntityService`1.View, Payload : [serviceName : IDomainEntityService`1] [methodName : View] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T16:02:07.1660744Z, ProcessId : 8924, ThreadId : 7472

EventId : 4, Level : Informational, Message : Method IDomainEntityService`1.View finished, Payload : [serviceName : IDomainEntityService`1] [methodName : View] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T16:02:07.1770749Z, ProcessId : 8924, ThreadId : 7472

EventId : 3, Level : Informational, Message : Invoking method IPlaceService`1.ChangeDescription, Payload : [serviceName : IPlaceService`1] [methodName : ChangeDescription] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T16:02:16.1894741Z, ProcessId : 8924, ThreadId : 7472

EventId : 4, Level : Informational, Message : Method IPlaceService`1.ChangeDescription finished, Payload : [serviceName : IPlaceService`1] [methodName : ChangeDescription] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T16:02:16.2344849Z, ProcessId : 8924, ThreadId : 7472

EventId : 3, Level : Informational, Message : Invoking method IPlaceService`1.ChangePrice, Payload : [serviceName : IPlaceService`1] [methodName : ChangePrice] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T16:02:16.2354746Z, ProcessId : 8924, ThreadId : 7472

EventId : 4, Level : Informational, Message : Method IPlaceService`1.ChangePrice finished, Payload : [serviceName : IPlaceService`1] [methodName : ChangePrice] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T16:02:16.2414737Z, ProcessId : 8924, ThreadId : 7472

EventId : 3, Level : Informational, Message : Invoking method IDomainEntityService`1.View, Payload : [serviceName : IDomainEntityService`1] [methodName : View] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T16:02:16.2424758Z, ProcessId : 8924, ThreadId : 7472

EventId : 4, Level : Informational, Message : Method IDomainEntityService`1.View finished, Payload : [serviceName : IDomainEntityService`1] [methodName : View] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T16:02:16.2444706Z, ProcessId : 8924, ThreadId : 7472

EventId : 3, Level : Informational, Message : Invoking method IAccountService.Indentify, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T16:04:33.5086650Z, ProcessId : 8768, ThreadId : 4608

EventId : 4, Level : Informational, Message : Method IAccountService.Indentify finished, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T16:04:35.5026035Z, ProcessId : 8768, ThreadId : 4608

EventId : 3, Level : Informational, Message : Invoking method IRoomService.GetRooms, Payload : [serviceName : IRoomService] [methodName : GetRooms] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T16:04:37.1462229Z, ProcessId : 8768, ThreadId : 4608

EventId : 4, Level : Informational, Message : Method IRoomService.GetRooms finished, Payload : [serviceName : IRoomService] [methodName : GetRooms] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T16:04:37.2242307Z, ProcessId : 8768, ThreadId : 4608

EventId : 3, Level : Informational, Message : Invoking method IDomainEntityService`1.View, Payload : [serviceName : IDomainEntityService`1] [methodName : View] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T16:04:39.2185194Z, ProcessId : 8768, ThreadId : 4608

EventId : 4, Level : Informational, Message : Method IDomainEntityService`1.View finished, Payload : [serviceName : IDomainEntityService`1] [methodName : View] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T16:04:39.2345173Z, ProcessId : 8768, ThreadId : 4608

EventId : 3, Level : Informational, Message : Invoking method IAccountService.Indentify, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T16:06:38.1767091Z, ProcessId : 10764, ThreadId : 10080

EventId : 4, Level : Informational, Message : Method IAccountService.Indentify finished, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T16:06:39.1760987Z, ProcessId : 10764, ThreadId : 10080

EventId : 3, Level : Informational, Message : Invoking method IRoomService.GetRooms, Payload : [serviceName : IRoomService] [methodName : GetRooms] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T16:06:40.8735695Z, ProcessId : 10764, ThreadId : 10028

EventId : 4, Level : Informational, Message : Method IRoomService.GetRooms finished, Payload : [serviceName : IRoomService] [methodName : GetRooms] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T16:06:40.9856064Z, ProcessId : 10764, ThreadId : 10028

EventId : 3, Level : Informational, Message : Invoking method IDomainEntityService`1.View, Payload : [serviceName : IDomainEntityService`1] [methodName : View] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T16:06:43.3318902Z, ProcessId : 10764, ThreadId : 10080

EventId : 4, Level : Informational, Message : Method IDomainEntityService`1.View finished, Payload : [serviceName : IDomainEntityService`1] [methodName : View] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T16:06:43.3478921Z, ProcessId : 10764, ThreadId : 10080

EventId : 3, Level : Informational, Message : Invoking method IAccountService.Indentify, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T16:07:56.2866622Z, ProcessId : 6844, ThreadId : 3340

EventId : 4, Level : Informational, Message : Method IAccountService.Indentify finished, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T16:07:57.2774557Z, ProcessId : 6844, ThreadId : 3340

EventId : 3, Level : Informational, Message : Invoking method IRoomService.GetRooms, Payload : [serviceName : IRoomService] [methodName : GetRooms] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T16:07:59.1443451Z, ProcessId : 6844, ThreadId : 3340

EventId : 4, Level : Informational, Message : Method IRoomService.GetRooms finished, Payload : [serviceName : IRoomService] [methodName : GetRooms] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T16:07:59.2674647Z, ProcessId : 6844, ThreadId : 3340

EventId : 3, Level : Informational, Message : Invoking method IDomainEntityService`1.View, Payload : [serviceName : IDomainEntityService`1] [methodName : View] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T16:08:01.1165704Z, ProcessId : 6844, ThreadId : 6616

EventId : 4, Level : Informational, Message : Method IDomainEntityService`1.View finished, Payload : [serviceName : IDomainEntityService`1] [methodName : View] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T16:08:01.1295788Z, ProcessId : 6844, ThreadId : 6616

EventId : 3, Level : Informational, Message : Invoking method IPlaceService`1.ChangeDescription, Payload : [serviceName : IPlaceService`1] [methodName : ChangeDescription] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T16:08:20.9177575Z, ProcessId : 6844, ThreadId : 6616

EventId : 4, Level : Informational, Message : Method IPlaceService`1.ChangeDescription finished, Payload : [serviceName : IPlaceService`1] [methodName : ChangeDescription] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T16:08:20.9552671Z, ProcessId : 6844, ThreadId : 6616

EventId : 3, Level : Informational, Message : Invoking method IPlaceService`1.ChangePrice, Payload : [serviceName : IPlaceService`1] [methodName : ChangePrice] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T16:08:20.9557667Z, ProcessId : 6844, ThreadId : 6616

EventId : 4, Level : Informational, Message : Method IPlaceService`1.ChangePrice finished, Payload : [serviceName : IPlaceService`1] [methodName : ChangePrice] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T16:08:20.9647659Z, ProcessId : 6844, ThreadId : 6616

EventId : 3, Level : Informational, Message : Invoking method IDomainEntityService`1.View, Payload : [serviceName : IDomainEntityService`1] [methodName : View] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T16:08:20.9657672Z, ProcessId : 6844, ThreadId : 6616

EventId : 4, Level : Informational, Message : Method IDomainEntityService`1.View finished, Payload : [serviceName : IDomainEntityService`1] [methodName : View] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T16:08:20.9682677Z, ProcessId : 6844, ThreadId : 6616

EventId : 3, Level : Informational, Message : Invoking method IAccountService.Indentify, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T16:11:36.6830321Z, ProcessId : 7224, ThreadId : 2908

EventId : 4, Level : Informational, Message : Method IAccountService.Indentify finished, Payload : [serviceName : IAccountService] [methodName : Indentify] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T16:11:37.8573364Z, ProcessId : 7224, ThreadId : 2908

EventId : 3, Level : Informational, Message : Invoking method IRoomService.GetRooms, Payload : [serviceName : IRoomService] [methodName : GetRooms] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T16:11:39.5566102Z, ProcessId : 7224, ThreadId : 1724

EventId : 4, Level : Informational, Message : Method IRoomService.GetRooms finished, Payload : [serviceName : IRoomService] [methodName : GetRooms] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T16:11:39.6741244Z, ProcessId : 7224, ThreadId : 1724

EventId : 3, Level : Informational, Message : Invoking method IDomainEntityService`1.View, Payload : [serviceName : IDomainEntityService`1] [methodName : View] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T16:11:42.4736022Z, ProcessId : 7224, ThreadId : 1724

EventId : 4, Level : Informational, Message : Method IDomainEntityService`1.View finished, Payload : [serviceName : IDomainEntityService`1] [methodName : View] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T16:11:42.7678235Z, ProcessId : 7224, ThreadId : 1724

EventId : 3, Level : Informational, Message : Invoking method IPlaceService`1.ChangeDescription, Payload : [serviceName : IPlaceService`1] [methodName : ChangeDescription] , EventName : ServiceMethodStartedInfo, Timestamp : 2016-12-13T16:12:13.5818721Z, ProcessId : 7224, ThreadId : 1724

EventId : 4, Level : Informational, Message : Method IPlaceService`1.ChangeDescription finished, Payload : [serviceName : IPlaceService`1] [methodName : ChangeDescription] , EventName : ServiceMethodFinishedInfo, Timestamp : 2016-12-13T16:12:13.6243918Z, ProcessId : 7224, ThreadId : 1724

